cited_by_fbwalls_count,cited_by_feeds_count,cited_by_gplus_count,cited_by_msm_count,cited_by_posts_count,cited_by_rdts_count,cited_by_tweeters_count,cited_by_videos_count,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,altmetric_id
1,3,0,7,36,1,14,4,"[0, '66223', '55511', '18965']","[0, '2683', '940', '83']","[0, '39', '8', '50']","[0, '0', '0', '0']","[0, '398', '67', '69']",103073
2,9,0,18,72,2,25,4,"['87939', '66212', '2086680', '433430']","['7280', '2683', '38273', '9315']","['43', '39', '676', '156']","['0', '0', '0', '0']","['1257', '398', '2380', '1520']",103075
4,3,0,3,43,0,7,4,"['1768', '27115', '7461', '38']","['155', '1516', '99', '4']","['5', '29', '10', '0']","['0', '0', '0', '0']","['61', '76', '20', '0']",1031224
2,3,0,1,14,0,2,4,"['1014', '22', '137', 0]","['135', '3', '8', 0]","['1', '0', '0', 0]","['0', '0', '0', 0]","['29', '0', '0', 0]",1032709
1,0,0,0,6,0,1,4,"['160', '52', 0, '977677']","['17', '2', 0, '24569']","['0', '0', 0, '352']","['0', '0', 0, '0']","['1', '0', 0, '1577']",1033950
0,1,0,1,6,0,0,3,"[0, '2031', '106733', 0]","[0, 0, '2080', 0]","[0, 0, '83', 0]","[0, '0', '0', 0]","[0, '3', '238', 0]",10372110
1,0,0,0,7,0,1,4,"['5', '953', '56885', 0]","['0', 0, '1438', 0]","['0', 0, '78', 0]","['0', '0', '0', 0]","['0', '7', '325', 0]",1038817
16,5,20,1,80,0,13,4,"['30250', '589', '4695', '114790']","['1582', '15', '125', '2729']","['52', '3', '31', '84']","['0', '0', '0', '0']","['835', '4', '66', '551']",103896
10,3,0,32,61,0,7,4,"['5970', 0, 0, '87060']","['137', 0, 0, 0]","['10', 0, 0, 0]","['0', 0, 0, '0']","['13', 0, 0, '32']",1041288
2,5,1,6,114,0,79,4,"['36', '4678', '1074', 0]","['0', '232', '47', 0]","['0', '5', '1', 0]","['0', '0', '0', 0]","['0', '28', '2', 0]",104141
2,2,2,1,17,0,4,4,"['671', '120801', 0, 0]","['84', '11465', 0, 0]","['2', '72', 0, 0]","['0', '0', 0, 0]","['14', '898', 0, 0]",1043193
0,0,1,0,5,0,0,1,"['712', '539', '1087', '680']","['14', '6', '12', '6']","['0', '0', '0', '0']","['0', '0', '0', '0']","['1', '1', '0', '0']",1046026
1,9,2,10,105,1,57,3,"['5066563', '140946', '1088', '170106']","['98818', '3672', '10', '459']","['4164', '132', '2', '227']","['0', '0', '0', '0']","['7591', '991', '5', '506']",104772
0,0,0,0,5,0,1,4,"['759', '118466', '3698', '1406']","['66', '4734', '174', '36']","['1', '78', '3', '8']","['0', '0', '0', '0']","['11', '249', '13', '13']",10501739
2,18,1,14,118,2,28,4,"['469', '84505', '1031', '17648']","['23', '4075', '14', '325']","['0', '41', '6', '23']","['0', '0', '0', '0']","['9', '406', '0', '76']",105096
0,0,0,0,6,0,1,4,"[0, 0, 0, '1813509']","[0, 0, 0, '17598']","[0, 0, 0, '1309']","[0, 0, 0, '0']","[0, 0, 0, '1622']",10518066
2,7,1,10,33,0,6,4,"['24901', '3402', '295807', '93010']","['1049', '144', '10267', '2906']","['11', '4', '747', '44']","['0', '0', '0', '0']","['103', '11', '927', '168']",105403
9,1,0,2,21,0,3,2,"['11665', '11829', 0, 0]","['527', '101', 0, 0]","['15', '8', 0, 0]","['0', '0', 0, 0]","['110', '50', 0, 0]",1054465
2,1,0,0,11,0,3,4,"[0, 0, 0, '162541']","[0, 0, 0, '9676']","[0, 0, 0, '222']","[0, 0, 0, '0']","[0, 0, 0, '427']",1057036
0,0,0,0,6,0,0,3,"['10179', 0, '477365', '25150']","['239', 0, '6102', '416']","['7', 0, '587', '43']","['0', 0, '0', '0']","['88', 0, '80', '31']",10574629
5,4,0,1,65,0,13,4,"['11669', '3', '5141', '1035']","['425', '0', '214', '72']","['243', '0', '2', '0']","['0', '0', '0', '0']","['419', '0', '29', '26']",1058745
0,1,0,0,10,0,0,1,"['1078', '1867', 0, '7512']","['63', '106', 0, '152']","['3', '3', 0, '6']","['0', '0', 0, '0']","['23', '97', 0, '36']",105898
6,13,0,3,63,2,25,3,"['2122', '204', 0, '466']","['68', '21', 0, '22']","['12', '0', 0, '2']","['0', '0', 0, '0']","['22', '1', 0, '20']",105997
0,6,2,0,15,1,1,2,"['625', '1033', '13729', '2817']","['7', '8', '109', '56']","['1', '2', '8', '2']","['0', '0', '0', '0']","['4', '8', '34', '29']",106191
9,2,0,5,34,0,11,4,"['14501', '6525', '9421', 0]","['835', '209', '524', 0]","['20', '13', '6', 0]","['0', '0', '0', 0]","['216', '15', '18', 0]",106259
12,5,7,17,291,1,220,3,"['499425', '60', '408129', '1012815']","['13409', '6', '13608', '23141']","['338', '0', '203', '363']","['0', '0', '0', '0']","['1132', '0', '864', '1122']",10637844
1,4,0,0,17,0,6,2,"['4', '109', '13', '21394']","['0', '1', '1', '189']","['1', '0', '0', '191']","['0', '0', '0', '0']","['0', '0', '0', '84']",106428
0,0,0,1,6,0,1,3,"['4840', 0, '6919', '278']","['294', 0, '753', '2']","['3', 0, '7', '0']","['0', 0, '0', '0']","['17', 0, '98', '2']",10646201
785,5,3,16,1033,2,146,4,"['3629', '502158', '245859', 0]","['503', '8723', '1932', 0]","['7', '188', '217', 0]","['0', '0', '0', 0]","['10', '287', '139', 0]",1065504
3,18,2,29,132,0,54,4,"['34', '1474186', '68815', '20536']","['5', '41712', '1068', '228']","['0', '1031', '39', '10']","['0', '0', '0', '0']","['0', '1571', '124', '9']",106634
11,4,0,8,47,0,13,4,"['3599', '3395', 0, '780']","['292', '251', 0, '32']","['5', '55', 0, '5']","['0', '0', 0, '0']","['59', '351', 0, '13']",1067465
4,1,0,14,32,0,4,3,"['6888', '2632', 0, '10897']","['277', '54', 0, '826']","['5', '1', 0, '8']","['0', '0', 0, '0']","['12', '3', 0, '29']",1067470
0,6,0,3,327,0,304,4,"['5901', '295800', '59385', '397']","['27', '9545', '59', '2']","['0', '297', '3', '0']","['0', '0', '0', '0']","['1', '978', '4', '0']",106748
1,2,2,3,38,0,21,1,"['14', 0, 0, 0]","['0', 0, 0, 0]","['0', 0, 0, 0]","['0', 0, 0, 0]","['0', 0, 0, 0]",1067912
2,0,0,0,116,2,84,4,"['2052', '7755', '365', '6']","['219', '415', '32', '0']","['1', '40', '0', '0']","['0', '0', '0', '0']","['63', '110', '11', '0']",10685481
1,3,0,4,17,1,0,4,"['3407', '1847', 0, '701614']","['166', '58', 0, '24869']","['1', '2', 0, '230']","['0', '0', 0, '0']","['20', '7', 0, '933']",1069300
5,5,0,8,69,0,39,2,"['3433', '95', '245', '670']","['138', '0', '2', '0']","['53', '1', '0', '0']","['0', '0', '0', '0']","['96', '0', '0', '0']",1071356
6,0,0,1,25,0,14,1,"['470', '229', '472', '503']","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",1072255
1,8,2,2,33,0,6,4,"['4970', '16', '208', '338']","['120', '4', '9', '14']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '1', '0']",107489
2,1,0,2,13,0,1,3,"['74', '71100', '11591', '1901']","['6', '2795', '1058', '261']","['0', '51', '17', '3']","['0', '0', '0', '0']","['5', '327', '206', '17']",1075605
12,2,0,5,32,0,0,4,"['20', '8338', 0, '553']","['0', '280', 0, '70']","['0', '8', 0, '1']","['0', '0', 0, '0']","[0, '42', 0, '5']",1075878
83,13,5,171,1816,0,1420,4,"['6', '227', '180354', '210']","['0', '12', '4', '11']","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '1']",10760415
1,2,1,0,15,0,6,4,"['24366', '25689', '6512', '6832']","['287', '1061', '428', '132']","['11', '18', '23', '7']","['0', '0', '0', '0']","['17', '132', '39', '38']",1076315
4,9,101,9,237,0,64,4,"['348', '82104', '516', '276']","['24', '5032', 0, '26']","['0', '78', 0, '4']","['0', '0', '0', '0']","['3', '751', '7', '20']",107906
0,1,0,0,6,0,0,1,"['3669', 0, 0, 0]","['53', 0, 0, 0]","['7', 0, 0, 0]","['0', 0, 0, 0]","['4', 0, 0, 0]",107959
7,1,6,8,96,0,65,2,"['334', '1666410', '981400', '389582']","['14', '51561', '44181', '21367']","['0', '2119', '605', '321']","['0', '0', '0', '0']","['4', '1443', '1065', '1143']",1080149
18,4,0,5,77,2,41,2,"['502', '293', '473', '1123']","['0', '0', '1', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","[0, 0, 0, 0]",1082227
0,9,1,2,78,1,38,3,"['16', 0, 0, '4780', 0]","['0', 0, 0, '228', 0]","['0', 0, 0, '140', 0]","['0', 0, 0, '0', 0]","['0', 0, 0, '564', 0]",108232
4,0,0,5,18,0,3,4,"['11', '5577', '6026', '9357']","['1', '232', '342', '141']","['0', '2', '8', '11']","['0', '0', '0', '0']","['0', '73', '63', '47']",10842219
14,15,1,17,163,0,75,3,"['2962', '8448', '2622', 0]","['109', '177', '34', 0]","['2', '27', '6', 0]","['0', '0', '0', 0]","['31', '56', '14', 0]",108478
2,1,0,0,30,0,17,4,"['927', '46310', 0, '32695']","['29', '2211', 0, '946']","['5', '371', 0, '9']","['0', '0', 0, '0']","['22', '758', 0, '180']",108497
3,2,0,1,33,0,17,4,"['5558', '23', '25607', '2659']","['239', '2', '915', '72']","['20', '0', '127', '46']","['0', '0', '0', '0']","['2', '2', '218', '103']",108558
0,0,0,0,6,0,1,1,"['3347', '5807', '1129', '3097']","['13', '34', '9', '19']","['2', '1', '1', '1']","['0', '0', '0', '0']","['11', '5', '5', '2']",10856963
10,5,0,10,111,0,68,3,"['31683', 0, '26496', '7483']","['1443', 0, '1274', '217']","['23', 0, '36', '4']","['0', 0, '0', '0']","['270', 0, '242', '31']",108579
2,0,0,0,14,0,2,3,"['15', '10', 0, 0]","['2', '1', 0, 0]","['0', '0', 0, 0]","['0', '0', 0, 0]","['0', '0', 0, 0]",1086639
5,2,1,2,76,2,55,4,"['2658', '12461', '6932', '12775091']","['46', '253', 0, '170206']","['0', '3', 0, '3690']","['0', '0', '0', '0']","['1', '12', '11', '24720']",108730
11,0,2,4,28,0,1,1,"['777', '1178', '1020', '562']","['4', '16', '5', '2']","['4', '1', '0', '1']","['0', '0', '0', '0']","['8', '3', '0', '1']",1087722
0,0,0,0,6,0,1,4,"['35', '251218', '2166', '219359']","['10', '7774', '53', '4732']","['0', '228', '3', '229']","['0', '0', '0', '0']","['0', '496', '7', '345']",1087725
0,1,0,0,5,0,0,3,"['9097', '10340', '5', '33449']","['227', '279', '0', '1895']","['13', '9', '0', '18']","['0', '0', '0', '0']","['15', '19', '0', '235']",10887251
0,0,6,1,25,0,12,3,"['82385', 0, '1040', 0]","['4073', 0, '19', 0]","['179', 0, '1', 0]","['0', 0, '0', 0]","['1238', 0, '3', 0]",10891414
1,12,2,23,136,1,75,4,"['33', '228835', '31000', '46']","['5', '12582', '1724', '4']","['0', '332', '54', '0']","['0', '0', '0', '0']","['2', '2524', '567', '2']",108926
2,3,0,4,107,0,56,1,"['1078', '1867', 0, '7498']","['63', '106', 0, '151']","['3', '3', 0, '6']","['0', '0', 0, '0']","['23', '97', 0, '36']",108989
9,6,0,15,106,0,48,4,"['186325', '2336', '4489', '62']","['5407', '224', '380', '1']","['130', '2', '12', '0']","['0', '0', '0', '0']","['376', '19', '25', '0']",1090718
3,1,0,46,77,0,16,3,"['5896', '3375', '147743', '49875']","['252', '234', '4081', '1558']","['5', '1', '258', '66']","['0', '0', '0', '0']","['181', '24', '1077', '560']",1091361
0,1,0,0,6,0,1,1,"['1168', '3459', '2356', '8648']","['4', '4', '1', '11']","['6', '24', '8', '83']","['0', '0', '0', '0']","['2', '4', '1', '33']",109159
3,0,0,0,10,0,3,3,"['246595', '15831', '49', '4130985']","['10123', '859', '4', '86703']","['99', '11', '1', '1423']","['0', '0', '0', '0']","['582', '90', '3', '2265']",1092480
0,6,0,4,18,0,2,4,"['418', '9737', '9895', '793965']","['45', '420', '499', '31457']","['0', '2', '7', '360']","['0', '0', '0', '0']","['28', '74', '119', '7140']",109303
0,2,0,0,7,0,1,4,"['25', '31', '11', 0]","['3', '1', '0', 0]","['0', '0', '0', 0]","['0', '0', '0', 0]","['0', '0', '0', 0]",109304
3,2,0,4,90,0,64,3,"['3300', '713', '429', '1851']","['129', '23', '34', '83']","['2', '2', '0', '3']","['0', '0', '0', '0']","['48', '30', '49', '42']",1094101
16,12,5,7,395,1,316,2,"['625113', '3430', '8022', '4466']","['16666', '136', '205', '157']","['1167', '21', '27', '51']","['0', '0', '0', '0']","['3505', '197', '94', '26']",1094401
0,0,0,0,7,0,3,1,"['30', '7456', '223', '38']","['0', '5', '2', '0']","['0', '3', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",10944901
4,0,0,3,19,0,6,1,"['14', 0, 0, 0]","['0', 0, 0, 0]","['0', 0, 0, 0]","['0', 0, 0, 0]","['0', 0, 0, 0]",1094746
0,0,0,0,5,0,0,4,"['93', '426365', '46153', '67392']","['29', '9163', '1644', '1770']","['0', '175', '11', '29']","['0', '0', '0', '0']","['71', '567', '212', '163']",10947519
0,1,0,0,5,0,0,1,"['664', '133', '652', '541']","['0', '0', '2', '1']","['0', '0', '0', '0']","['0', '0', '0', '0']","['1', '0', '0', '0']",109525
0,0,0,0,8,1,2,3,"[0, 0, 0, '55190']","[0, 0, 0, '804']","[0, 0, 0, '13']","[0, 0, 0, '0']","[0, 0, 0, '80']",1098471
3,2,0,2,12,0,1,4,"[0, '1', 0, '16005']","[0, '0', 0, '519']","[0, '0', 0, '7']","[0, '0', 0, '0']","[0, '0', 0, '62']",1100960
1,0,0,0,9,0,2,4,"['16', '12', 0, '3391771']","['0', '0', 0, '56870']","['0', '0', 0, '1711']","['0', '0', 0, '0']","['0', '0', 0, '6512']",1102705
