Altmetrics_Id,youtube_links,viewCount,likeCount,dislikeCount,commentCount,cited_by_fbwalls_count,cited_by_gplus_count,cited_by_msm_count,cited_by_posts_count,cited_by_tweeters_count,cited_by_videos_count,cited_by_wikipedia_count,cited_by_accounts_count,title,doi
1951467,https://www.youtube.com/watch?v=SQRqz-j2FEU,14632,943,21,108,248,7,16,1061,572,45,0,907,The effect of protein timing on muscle strength and hypertrophy: a meta-analysis,10.1186/1550-2783-10-53
4386122,https://www.youtube.com/watch?v=Q8OLM9kh4uI,4073,262,8,5,106,25,78,1956,1368,54,5,1652,"Intake of saturated and trans unsaturated fatty acids and risk of all cause mortality, cardiovascular disease, and type 2 diabetes: systematic review and meta-analysis of observational studies",10.1136/bmj.h3978
176473,https://www.youtube.com/watch?v=IEId1Oo5vHw,23070,2244,59,202,22,2,8,232,107,41,2,187,Spirula—a window to the embryonic development of ammonoids? Morphological and molecular indications for a palaeontological hypothesis,10.1007/s10347-005-0054-9
4175407,https://www.youtube.com/watch?v=Q8OLM9kh4uI,4073,262,8,5,53,3,31,552,283,52,6,441,Reduction in saturated fat intake for cardiovascular disease,10.1002/14651858.cd011737
829180,https://www.youtube.com/watch?v=XHZzZ1LnGYI,1587,80,12,16,155,23,2,716,350,23,0,560,Model simulations on the long-term dispersal of137Cs released into the Pacific Ocean off Fukushima,10.1088/1748-9326/7/3/034004
553797,https://www.youtube.com/watch?v=mOX90SRa0rE,33,6,0,1,20,2,8,174,69,40,1,147,"A controlled trial of reduced meal frequency without caloric restriction in healthy, normal-weight, middle-aged adults.",0
218016,https://www.youtube.com/watch?v=i4F5TdlRSSE,12,1,0,0,43,2,15,552,336,45,3,454,Clinical studies show no effects of soy protein or isoflavones on reproductive hormones in men: results of a meta-analysis,10.1016/j.fertnstert.2009.04.038
29322872,https://www.youtube.com/watch?v=RaSzagzteIU,405,9,11,2,55,7,2,193,38,52,3,157,[Biochemical studies on camomile components/III. In vitro studies about the antipeptic activity of (--)-alpha-bisabolol (author's transl)].,0
6798615,https://www.youtube.com/watch?v=-MeMoT3jX5g,6,0,0,0,1,1,0,227,17,1,0,20,Gower Handbook of Programme Management,0
21093339,https://www.youtube.com/watch?v=Oxf5MLipdxQ,166,3,0,0,0,0,0,59,3,1,0,4,English Phonetics and Pronunciation Practice,0
21051540,https://www.youtube.com/watch?v=hNs2hy0jjM4,4018,196,1,29,116,6,6,1556,951,21,0,1106,International society of sports nutrition position stand: diets and body composition,10.1186/s12970-017-0174-y
510712,https://www.youtube.com/watch?v=y3EUG4ivY_M,235857,9834,131,1207,45,1,9,417,227,48,2,338,Dietary protein for athletes: From requirements to optimum adaptation,10.1080/02640414.2011.619204
1311539,https://www.youtube.com/watch?v=av9cPojcz2Y,0,0,0,0,10,7,1,101,21,21,1,61,Lipotoxicity: Effects of Dietary Saturated and Transfatty Acids,10.1155/2013/137579
204439,https://www.youtube.com/watch?v=MZPFNujNXYQ,107749,5876,302,1120,17,1,54,209,61,44,0,180,Intermittent versus daily calorie restriction: which diet regimen is more effective for weight loss?,10.1111/j.1467-789x.2011.00873.x
873631,https://www.youtube.com/watch?v=AMuSsWbWJq0,128772,8620,709,3056,23,4,4,271,132,34,1,209,Egg yolk consumption and carotid plaque,10.1016/j.atherosclerosis.2012.07.032
960498,https://www.youtube.com/watch?v=DRKDexxjTDU,1021,108,3,16,9,2,2,102,26,38,0,79,"The Associations of Diet with Serum Insulin-like Growth Factor I and Its Main Binding Proteins in 292 Women Meat-Eaters, Vegetarians, and Vegans",0
28859927,https://www.youtube.com/watch?v=EUR3FCqh4PQ,28,0,0,0,2,5,3,475,407,50,0,467,"Effects of 5,6-dihydroxytryptamine on tyrosine-hydroxylase activity in central catecholaminergic neurons of the rat.",0
910478,https://www.youtube.com/watch?v=xk9YnsWYkZw,1989,73,3,4,34,4,3,239,106,39,1,190,The Mechanisms of Muscle Hypertrophy and Their Application to Resistance Training,10.1519/jsc.0b013e3181e840f3
649475,https://www.youtube.com/watch?v=ToN46wf2aCs,31,4,0,0,158,20,34,1295,693,42,0,962,Long-term effects of a ketogenic diet in obese patients,0
57129333,https://www.youtube.com/watch?v=guid1kNxu1s,1,0,0,0,0,0,0,52,0,1,0,1,A Frequency Dictionary of Mandarin Chinese,0
15064534,https://www.youtube.com/watch?v=e4HWKVQlLe0,0,0,0,0,0,0,0,52,0,1,0,1,Securing Java Web Applications with Spring Security,0
108591,https://www.youtube.com/watch?v=DtSi-LGx-eE,101,9,0,7,18,1,29,183,41,39,0,136,"Alternate-day fasting in nonobese subjects: effects on body weight, body composition, and energy metabolism",10.1093/ajcn/81.1.69
23560811,https://www.youtube.com/watch?v=HPWspQQuvls,11887,770,7,88,0,0,0,57,0,2,0,3,The Bad Food Bible,0
1805110,https://www.youtube.com/watch?v=hNs2hy0jjM4,4018,196,1,29,41,0,3,240,118,43,0,210,A Systematic Review of Dietary Protein during Caloric Restriction in Resistance Trained Lean Athletes: A Case for Higher Intakes,10.1123/ijsnem.2013-0054
426916,https://www.youtube.com/watch?v=pzGrCNTWnww,290,19,0,6,14,1,1,103,31,44,0,94,The time course for elevated muscle protein synthesis following heavy resistance exercise.,0
51938727,https://www.youtube.com/watch?v=D220GA7gjx8,132,27,2,3,0,0,0,54,0,1,0,1,Mission de l'astronaute David Saint-Jacques,0
15418219,https://www.youtube.com/watch?v=lJbeWnXBvcs,20,2,0,1,249,22,384,4091,1927,18,2,2655,The Health Effects of Cannabis and Cannabinoids,10.17226/24625
558685,https://www.youtube.com/watch?v=DtSi-LGx-eE,101,9,0,7,21,0,2,123,31,34,0,90,Augmented growth hormone (GH) secretory burst frequency and amplitude mediate enhanced GH secretion during a two-day fast in normal men,10.1210/jc.74.4.757
14135873,https://www.youtube.com/watch?v=3wtgi57-uZU,0,0,0,0,0,0,0,48,0,1,0,1,5 Star Trailer Park,0
380740,https://www.youtube.com/watch?v=3J8FOW6yCQ0,105,21,0,10,57,4,37,561,332,32,5,477,Health effects of vegan diets,10.3945/ajcn.2009.26736n
2926941,https://www.youtube.com/watch?v=8aYAy6icjOc,334,20,0,4,85,5,32,401,188,44,0,356,Body composition changes associated with fasted versus non-fasted aerobic exercise,10.1186/s12970-014-0054-7
1139197,https://www.youtube.com/watch?v=0DsiP9Iefbw,101,7,0,2,114,8,0,686,196,2,2,324,"Ehlers-Danlos Syndrome, Hypermobility Type: An Underdiagnosed Hereditary Connective Tissue Disorder with Mucocutaneous, Articular, and Systemic Manifestations",10.5402/2012/751768
1487498,https://www.youtube.com/watch?v=efuTMPXrT6w,7287,397,85,244,6,1,1,79,19,20,1,49,A saturated fatty acid–rich diet induces an obesity-linked proinflammatory gene expression profile in adipose tissue of subjects at risk of metabolic syndrome,10.3945/ajcn.2009.27792
29271525,https://www.youtube.com/watch?v=EUR3FCqh4PQ,28,0,0,0,19,6,1,95,4,40,10,80,Aggregation of blood platelets by adrenaline and its uptake.,0
7086992,https://www.youtube.com/watch?v=FlQbUeJIgp8,132,17,1,1,1,4,0,67,14,3,0,22,Worlds Beyond the Poles,0
130816,https://www.youtube.com/watch?v=AxuyU6X834A,6834,692,9,158,68,259,28,831,187,27,3,599,The importance of the ratio of omega-6/omega-3 essential fatty acids,10.1016/s0753-3322(02)00253-6
1391907,https://www.youtube.com/watch?v=iEeFC9Jg-ZA,2281,444,0,184,7,0,22,158,23,38,3,99,Normal caffeine consumption: influence on thermogenesis and daily energy expenditure in lean and postobese human volunteers.,0
102093,https://www.youtube.com/watch?v=pUMGvzEZzQo,5657,516,37,225,152,44,189,2999,1810,43,22,2399,"RETRACTED: Ileal-lymphoid-nodular hyperplasia, non-specific colitis, and pervasive developmental disorder in children",10.1016/s0140-6736(97)11096-0
177895,https://www.youtube.com/watch?v=hNs2hy0jjM4,4018,196,1,29,26,1,2,243,140,38,0,211,Effect of two different weight-loss rates on body composition and strength and power-related performance in elite athletes.,0
23649493,https://www.youtube.com/watch?v=4XvvgqVUKqk,1077,11,3,3,0,0,0,47,3,2,0,5,The C# Programmer’s Study Guide (MCSD),10.1007/978-1-4842-2860-9
1529096,https://www.youtube.com/watch?v=74KSbibyA3c,0,0,0,0,127,9,49,822,446,26,2,679,Vegetarian Dietary Patterns and Mortality in Adventist Health Study 2,10.1001/jamainternmed.2013.6473
