youtube_ids,status
MzHLAqyO7PQ,A
a2lLKIPpe-w,A
VubRDVdPKyU,U
6T0usLq1OyY,A
vPW4jVfCLEY,A
UkqUpPxGrMI,A
JoZwhU4y6kA,U
dhrTG638xKQ,U
jO6e8tnhe6A,A
Gmdx1j8Mlgg,A
fcbHQ-7c-Cg,U
dO4lRCGCR2Q,U
T9v92faPohg,A
JS3hc5d1Z6I,A
bHzkhoqj718,A
MWCF6c3qOWM,A
4Si4OoLZgDw,A
wwXlJDfkDKU,A
HhG8BqbSKWg,U
8l69ushpmnY,A
RuB4vJgDhuc,A
ijunZv4OlBQ,U
Cvz9w6NWJAA,A
LbtwwZP4Yfs,A
6PJWmgpz16k,A
YaIpaGSESO0,A
i-ChzhgFaro,U
qczRzcqxoIo,U
wuv14oWsUog,U
bgc-6zZj034,A
1rA3FCmBnPM,A
SlCsJ5WlhwM,A
iydICiwAuVw,U
HPRr0D1qywo,U
4e9KYsnH4ck,U
GSUoyFC-8qE,U
rkt1jt3TGn4,A
7DXR1WhAick,A
zzt6kah1-E8,A
eK28-f_ZEt0,A
zxQMbP5rjT8,A
lZcarpZnwT0,A
VieapMQO4iY,A
hBDSLGGeahg,A
YGU-ePqSt-w,A
4EcdAUoK9w0,A
NdNP-934MBg,A
cCQQTObZhi8,A
rWegwi_uQOY,A
Br_Dcb-OuR8,A
6WvgvVYMfpM,A
Zdrvj-aQVs0,A
uxC_76sUIf8,A
6F1aErmecdA,A
teZPIpsm6-o,A
SdQe9tbq2Rs,A
6xWbxCgK3Q8,A
VrpCL6rn0qI,A
14M_NwbSTeY,A
d-nz-fzMAFg,A
kj9LbtLiMng,A
8-iMymP6Tds,A
#NAME?,A
9c6syqWYxkg,A
YS5CvRSvGk0,A
rLP2hhHfOuc,A
viO2V-BceCc,A
CC5Ei7VUkBk,A
8lfD08F6Saw,A
ueHLID2L2bI,A
e-I0Co00OPk,A
76toQV3nCzQ,A
79Sd0W0eatw,A
O2XpPnqXghA,U
eSoBuYMawrA,A
7O1rE4lAoLc,A
5Lc-agdPklA,A
5TW7zxq69ZQ,A
#NAME?,A
I6xcp06IRrA,A
H-fQyQKHfzk,A
rpKpLCGKxtg,A
Cb5raM28Ews,A
CqDJ0BpSlIA,A
Uw0DOOfRwhQ,U
ZaPSakh2Bhg,A
9l8TOyTn8eA,A
mjld_4vXSls,A
34f35420QF4,A
2titm9Xutp4,A
wHV5p_x_e98,A
9o-Yf4favwg,A
qFsii4BD0xE,A
WaeDYTJnVDg,A
Xq4lIU2IPD0,A
i8piyS-GAHc,A
_6Nj58CBC_w,A
HPzvwfkJMlw,A
snLy_y3XhSk,A
jFVMbkRJI9g,A
x1_YZC2aExA,A
S4_83ns7uJc,A
zyvVjsHlz24,A
DrVy7Wcc6h0,A
dS8wlaw_Bx8,A
VJWOlKqDzIo,A
jeVY5uIvF44,A
4O9ccHWihYA,A
VBXrv4eNxKo,A
Cq-GFbzwo6o,A
Dmz9jGg7_0M,U
gZExLt1_6Kg,A
nYuiyi_yKSE,A
#NAME?,A
CEtNBOqIdJI,A
3IcVEv4Xqqw,A
RUFbHM8PUpU,A
S2qLgSXSk1w,A
tGi85VAUYVU,A
uqFJ-kAW7h4,A
qxGooHTDEo8,A
p8EWi8vxNNs,A
G8lxfL45VoU,A
iAmKxKSwi6g,A
xDCt3TtulY4,A
VqgOZ8oBSXg,A
Ke-hpfrBkSo,A
Q4blWSpMjww,A
V94R0snHHfU,A
OwejcoZfL0s,A
3udo32G3aVU,A
hD4Rvl6RS30,A
vLxN_y-ZR9A,U
PMEQHun0hd8,A
jzvHaD5BZiQ,A
waD8zzDYxWY,A
sizD9o7GZ0g,A
pVZy8jWm9SI,A
v4iwdfbSDe0,A
A2o12XYC2So,A
3XljGAqiwhs,A
#NAME?,A
sXboL5oeZvo,A
MQomVOT92mQ,A
bPPWcbhXEq0,A
tIvZe4dvCE8,A
mCAQrrHd2lI,A
xJbh5txI158,A
GHBha0ajmuI,A
-1wSir0tJdI,A
cQlzBnnGguQ,A
tSg_KWTYSwg,A
j0CAp4iAj6Y,A
f-vo9wWlQ5Y,A
7mgdrybBEMg,A
Hk7Z05d_UDA,A
assDY6NcsQA,A
xK_UuFv7_T4,A
jdfbskzVMH0,A
XroMvqJZwB0,A
62jNCVhgBaQ,A
5faoh9Iyh6I,A
VOQmdjRgzDo,A
a5eiHqY3cr4,A
VAX2TkSbT9Y,A
B4tDanLyxzo,A
YcC9JSHEDNc,A
NIEcpGo3Qk4,A
xVvZcge6Gmo,A
qU--dSrau_k,A
40xunoUl0xU,A
Cc3tMomrNIE,A
bkdY-peKMXo,A
RMQrBuNvwsw,A
GXacJNLiL7I,A
YO0YGBdKi-k,A
aKEE5TDikLc,A
uoqq4dX3j6M,A
g0sAux9bs_4,U
csaqzyHbAM4,U
7qdWntukGfM,U
4mGbS5YuIwU,A
LaIt4KP47pM,A
HxTY0BXwTt0,U
ZzZt6OYjVts,A
XShuvLqhyeY,A
FB8JnUGK4UQ,U
FWi6F-PBals,A
OWKzuNwzUn0,U
qHH0_lgygmY,U
d_bYc0dAO6E,U
MsFWeC-DeLo,A
hAuo5O45GD4,A
_2iz4GN3bEw,A
U330T72kXVo,U
QDQlI5tGEiI,U
#NAME?,A
34HGcIpuV58,A
jUJhkadliCU,A
APwAiHlBnKQ,A
sNxMGzadEOw,A
cb7DY5Cbp3U,A
t5SvNGGLtq4,A
lYKsU-vSH2E,A
KGPKqLXm7AM,A
JihMCAozIX4,A
DbbSQtqjEDM,U
5I7MjzpulRY,U
aeYFAFJu7SE,A
GyjWMIsYAu4,U
YC_ZCoQ_Pz4,A
QnR5WiA2eqg,U
pwzr64iwNho,A
ypJZNeUoo1o,A
mmx1Etnzebo,U
fdVvCj6MqYQ,U
PSUqbEcn6o4,U
EMG7e8WxdDY,U
gHYbaoG7qcU,A
eNm5tQ66HnI,U
jwjcb2pn8yU,A
uWcekIoSLoc,U
5pDKlPhoRY8,U
n5vHJLIGDmI,A
dcEcnv179jc,A
rkK7JAoYBT4,U
vIWWl0-TwJg,U
4awhRmjEyW4,U
txGM6MnLSkI,A
02doLbrW1bQ,A
D0zcFkC0bWM,U
kC6mDtpB3t4,A
SWu9svAMtV4,A
mUbWK3fwFsA,A
7P7vOdiX90I,A
9eExN7W7Gv8,A
FsSFsZsCHG0,A
1c1Z1XOW9l4,A
zAi6Qe0qiIs,A
Hxq4jNx6DiA,A
nyoc5ez8LW0,A
G3aUZbpRDMc,A
jz0OzRLF1vM,A
sT3Ljt_fTxA,A
4qd8Qq7cQFs,A
6tx7NxI8uD0,U
IWxMsPjZve8,A
NSq8T_Uz7RY,A
9Z9iOLJbSCw,A
DRfXwMmjKaw,A
vvdbpcT2hvw,A
LyBwHMgYMoU,A
4Tz-vQMpoYo,A
cTgiTV0qOYk,A
Bmo-74eZgLo,A
kTlW3ZhQ1Iw,A
FdaM3f_odqI,A
ftW046ylMjk,U
ytG4r7DQU3M,A
NTF9S7s1fFQ,A
F-4geIpbTco,A
KFEuKYH-CCM,A
CzEYQa7BQM4,A
XimVTp_wc_c,A
9s5CrkwPfMk,A
cA33uczza8I,A
hD_x2f3LUR8,U
nvEop9e0yVw,U
DH4vQtnW6t0,A
M-KeCeqy7JE,A
WUwNMBT6pP8,A
SeDvYExqhOI,A
H_CIBEWRu2A,A
TzWQLMJK2lw,A
0aq-nSjMmWM,A
VQkeLxaMlAE,A
yNAXGacSOJQ,A
8RubMaTFuAA,A
rbmHQOZjV5Q,A
Krd-SUpObC4,A
bJx9nU6bWPU,A
THqEp5cu88Y,A
fbeOvf-HdfM,A
BEs3Qw3YDfM,U
